subscription_id,customer_id,plan_id,status_code,subscription_start_date,subscription_end_date
sub_1_0,1,p2,Canceled,2024-12-18,2025-04-17
sub_2_0,2,p2,pending,2024-08-27,
sub_3_0,3,p1,active,2024-07-05,
sub_4_0,4,p2,Canceled,2024-01-20,2024-05-19
sub_5_0,5,p3,ACTIVE,2024-07-21,
sub_6_0,6,p3,active,2024-12-23,
sub_7_0,7,p1,active,2024-08-01,
sub_8_0,8,p1,active,2024-11-07,
sub_9_0,9,p3,active,2024-02-22,
sub_10_0,10,p1,pending,2024-09-14,
sub_11_0,11,p3,ACTIVE,2024-01-10,
sub_12_0,12,p1,active,2024-08-08,
sub_13_0,13,p2,pending,2024-09-12,
sub_14_0,14,p2,Cancelled,2024-04-09,2024-08-07
sub_15_0,15,p1,ACTIVE,2024-06-03,
sub_15_1,15,p3,ACTIVE,2024-07-03,
sub_16_0,16,p3,pending,2024-03-04,
sub_17_0,17,p3,pending,2024-05-04,
sub_18_0,18,p1,active,2024-05-13,
sub_19_0,19,p2,ACTIVE,2024-09-22,
sub_20_0,20,p1,Cancelled,2024-04-14,2024-08-12
sub_21_0,21,p2,active,2024-07-27,
sub_22_0,22,p3,pending,2024-10-10,
sub_23_0,23,p2,pending,2024-06-03,
sub_24_0,24,p1,Cancelled,2024-12-12,2025-04-11
sub_25_0,25,p2,Canceled,2024-09-01,2024-12-30
sub_26_0,26,p2,pending,2024-04-27,
sub_27_0,27,p3,active,2024-09-20,
sub_28_0,28,p1,pending,2024-12-28,
sub_29_0,29,p1,ACTIVE,2024-11-17,
sub_30_0,30,p3,ACTIVE,2024-07-04,
sub_30_1,30,p2,ACTIVE,2024-08-03,
sub_31_0,31,p1,Canceled,2024-08-19,2024-12-17
sub_32_0,32,p1,pending,2024-03-18,
sub_33_0,33,p3,pending,2024-03-18,
sub_34_0,34,p2,Canceled,2024-02-26,2024-06-25
sub_35_0,35,p1,Cancelled,2024-12-04,2025-04-03
sub_36_0,36,p2,pending,2024-06-17,
sub_37_0,37,p1,active,2024-08-06,
sub_38_0,38,p1,ACTIVE,2024-08-17,
sub_39_0,39,p1,ACTIVE,2024-12-11,
sub_40_0,40,p3,Canceled,2024-09-10,2025-01-08
sub_41_0,41,p1,active,2024-03-26,
sub_42_0,42,p2,active,2024-09-12,
sub_43_0,43,p3,Cancelled,2024-07-29,2024-11-26
sub_44_0,44,p1,active,2024-05-25,
sub_45_0,45,p3,active,2024-09-12,
sub_45_1,45,p2,active,2024-10-12,
sub_46_0,46,p1,pending,2024-12-27,
sub_47_0,47,p3,Cancelled,2024-03-24,2024-07-22
